"COU","Ultimate Parent Jurisdiction","JUR","Partner Jurisdiction","PAN","Grouping","CBC","Variable","YEA","Year","Value","Flag Codes","Flags"
"IND","India","MYS","Malaysia","PANELAI","Sub-Groups with positive profits","ACT_SALES","Sales, Marketing or Distribution","2016","2016",5,,
"IND","India","SAU","Saudi Arabia","PANELAI","Sub-Groups with positive profits","ACT_PUR","Purchasing or Procurement","2016","2016",2,,
"MEX","Mexico","DOM","Dominican Republic","PANELAI","Sub-Groups with positive profits","SUBGROUPS_COUNT","Number of CbCR Sub Groups","2016","2016",7,,
"LUX","Luxembourg","MYS","Malaysia","PANELAI","Sub-Groups with positive profits","UPR","Unrelated Party Revenues","2016","2016",1038566960.722,,
"AUS","Australia","PRT","Portugal","PANELAI","Sub-Groups with positive profits","ACT_SALES","Sales, Marketing or Distribution","2016","2016",3,,
"CHN","China (People's Republic of)","JPN","Japan","PANELAI","Sub-Groups with positive profits","TAX_PAID","Income Tax Paid (on Cash Basis)","2016","2016",33290184.351,,
"IND","India","KWT","Kuwait","PANELAI","Sub-Groups with positive profits","EMPLOYEES","Number of Employees","2016","2016",3247,,
"USA","United States","NGA","Nigeria","PANELAI","Sub-Groups with positive profits","ASSETS","Tangible Assets other than Cash and Cash Equivalents","2016","2016",12818118991,,
"CHN","China (People's Republic of)","KEN","Kenya","PANELAI","Sub-Groups with positive profits","ACT_RD","Research and Development","2016","2016",0,,
"LUX","Luxembourg","GBR","United Kingdom","PANELAI","Sub-Groups with positive profits","STATED_CAPITAL","Stated Capital","2016","2016",4236139438.616,,
"CHN","China (People's Republic of)","VEN","Venezuela","PANELAI","Sub-Groups with positive profits","ACT_DOR","Dormant","2016","2016",2,,
"LUX","Luxembourg","ITA","Italy","PANELAI","Sub-Groups with positive profits","ACT_RD","Research and Development","2016","2016",13,,
"ZAF","South Africa","GBR","United Kingdom","PANELAI","Sub-Groups with positive profits","ACT_SALES","Sales, Marketing or Distribution","2016","2016",26,,
"CHN","China (People's Republic of)","MYS","Malaysia","PANELAI","Sub-Groups with positive profits","STATED_CAPITAL","Stated Capital","2016","2016",434560429.014,,
"ZAF","South Africa","ZWE","Zimbabwe","PANELAI","Sub-Groups with positive profits","ASSETS","Tangible Assets other than Cash and Cash Equivalents","2016","2016",1553152821.4,,
"USA","United States","HKG","Hong Kong, China","PANELAI","Sub-Groups with positive profits","EARNINGS","Accumulated Earnings","2016","2016",58434884822,,
"IND","India","CRI","Costa Rica","PANELAI","Sub-Groups with positive profits","STATED_CAPITAL","Stated Capital","2016","2016",37.9,,
"CHN","China (People's Republic of)","BRA","Brazil","PANELAI","Sub-Groups with positive profits","STATED_CAPITAL","Stated Capital","2016","2016",4856120130.854,,
"AUS","Australia","DEU","Germany","PANELAI","Sub-Groups with positive profits","ACT_FIN","Regulated Financial Services","2016","2016",7,,
"IND","India","LBR","Liberia","PANELAI","Sub-Groups with positive profits","ACT_FIN","Regulated Financial Services","2016","2016",0,,
"CHN","China (People's Republic of)","ECU","Ecuador","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",8,,
"IND","India","CUW","Curacao","PANELAI","Sub-Groups with positive profits","TOT_REV","Total Revenues","2016","2016",4490595.537,,
"USA","United States","AUT","Austria","PANELAI","Sub-Groups with positive profits","TAX_ACCRUED","Income Tax Accrued - Current Year","2016","2016",509054885,,
"DNK","Denmark","SVK","Slovak Republic","PANELAI","Sub-Groups with positive profits","ENTITIES_COUNT","Number of Entities","2016","2016",26,,
"SGP","Singapore","CHN","China (People's Republic of)","PANELAI","Sub-Groups with positive profits","ACT_FIN","Regulated Financial Services","2016","2016",4,,
"ZAF","South Africa","RUS","Russia","PANELAI","Sub-Groups with positive profits","EARNINGS","Accumulated Earnings","2016","2016",29372295.133,,
"BMU","Bermuda","POL","Poland","PANELAI","Sub-Groups with positive profits","SUBGROUPS_COUNT","Number of CbCR Sub Groups","2016","2016",6,,
"ZAF","South Africa","IDN","Indonesia","PANELAI","Sub-Groups with positive profits","TOT_REV","Total Revenues","2016","2016",69489744.867,,
"LUX","Luxembourg","CHE","Switzerland","PANELAI","Sub-Groups with positive profits","ACT_IGF","Internal Group Finance","2016","2016",19,,
"IND","India","LBN","Lebanon","PANELAI","Sub-Groups with positive profits","TAX_PAID","Income Tax Paid (on Cash Basis)","2016","2016",1400.554,,
"IND","India","MEX","Mexico","PANELAI","Sub-Groups with positive profits","TOT_REV","Total Revenues","2016","2016",1139346840.357,,
"SGP","Singapore","TWN","Chinese Taipei","PANELAI","Sub-Groups with positive profits","TAX_PAID","Income Tax Paid (on Cash Basis)","2016","2016",11640158,,
"IDN","Indonesia","CHN","China (People's Republic of)","PANELAI","Sub-Groups with positive profits","ACT_SER","Provision of Services to Unrelated Parties","2016","2016",0,,
"ZAF","South Africa","GHA","Ghana","PANELAI","Sub-Groups with positive profits","EARNINGS","Accumulated Earnings","2016","2016",-2555255118.733,,
"DNK","Denmark","PHL","Philippines","PANELAI","Sub-Groups with positive profits","PROFIT","Profit (Loss) before Income Tax","2016","2016",9000240.705,,
"IND","India","MHL","Marshall Islands","PANELAI","Sub-Groups with positive profits","ACT_RD","Research and Development","2016","2016",0,,
"FRA","France","AUS","Australia","PANELAI","Sub-Groups with positive profits","SUBGROUPS_COUNT","Number of CbCR Sub Groups","2016","2016",57,,
"FRA","France","OAM","Other Americas","PANELAI","Sub-Groups with positive profits","STATED_CAPITAL","Stated Capital","2016","2016",151609720541.29,,
"IND","India","BEL","Belgium","PANELAI","Sub-Groups with positive profits","ACT_MAN","Manufacturing or Production","2016","2016",4,,
"IND","India","SLB","Solomon Islands","PANELAI","Sub-Groups with positive profits","TAX_PAID","Income Tax Paid (on Cash Basis)","2016","2016",3355.691,,
"LUX","Luxembourg","VGB","British Virgin Islands","PANELAI","Sub-Groups with positive profits","EMPLOYEES","Number of Employees","2016","2016",1,,
"IND","India","IND","India","PANELAI","Sub-Groups with positive profits","ACT_ADMIN","Administrative, Management or Support Services","2016","2016",86,,
"SGP","Singapore","MYS","Malaysia","PANELAI","Sub-Groups with positive profits","TAX_PAID","Income Tax Paid (on Cash Basis)","2016","2016",354752966,,
"LUX","Luxembourg","IND","India","PANELAI","Sub-Groups with positive profits","RPR","Related Party Revenues","2016","2016",992749781.443,,
"MEX","Mexico","GBR","United Kingdom","PANELAI","Sub-Groups with positive profits","ASSETS","Tangible Assets other than Cash and Cash Equivalents","2016","2016",241058785.887,,
"ITA","Italy","IRL","Ireland","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",24,,
"LUX","Luxembourg","OAF","Other Africa","PANELAI","Sub-Groups with positive profits","ACT_HOLDING","Holding Shares or other Equity Instruments","2016","2016",4,,
"LUX","Luxembourg","SAU","Saudi Arabia","PANELAI","Sub-Groups with positive profits","SUBGROUPS_COUNT","Number of CbCR Sub Groups","2016","2016",6,,
"IRL","Ireland","IRL","Ireland","PANELAI","Sub-Groups with positive profits","ACT_HOLDING","Holding Shares or other Equity Instruments","2016","2016",280,,
"ITA","Italy","HUN","Hungary","PANELAI","Sub-Groups with positive profits","ASSETS","Tangible Assets other than Cash and Cash Equivalents","2016","2016",275351239.786,,
"AUS","Australia","TUR","Turkey","PANELAI","Sub-Groups with positive profits","SUBGROUPS_COUNT","Number of CbCR Sub Groups","2016","2016",6,,
"DNK","Denmark","LUX","Luxembourg","PANELAI","Sub-Groups with positive profits","ACT_IP","Holding or Managing Intellectual Property","2016","2016",0,,
"USA","United States","ROU","Romania","PANELAI","Sub-Groups with positive profits","STATED_CAPITAL","Stated Capital","2016","2016",1166743656,,
"USA","United States","GBR","United Kingdom","PANELAI","Sub-Groups with positive profits","EMPLOYEES","Number of Employees","2016","2016",761010,,
"MEX","Mexico","HRV","Croatia","PANELAI","Sub-Groups with positive profits","TOT_REV","Total Revenues","2016","2016",268839640.736,,
"IND","India","KEN","Kenya","PANELAI","Sub-Groups with positive profits","ACT_RD","Research and Development","2016","2016",0,,
"IND","India","VNM","Viet Nam","PANELAI","Sub-Groups with positive profits","EMPLOYEES","Number of Employees","2016","2016",2754,,
"LUX","Luxembourg","KEN","Kenya","PANELAI","Sub-Groups with positive profits","ACT_PUR","Purchasing or Procurement","2016","2016",0,,
"DNK","Denmark","CHE","Switzerland","PANELAI","Sub-Groups with positive profits","TOT_REV","Total Revenues","2016","2016",4678483435.58,,
"ZAF","South Africa","CMR","Cameroon","PANELAI","Sub-Groups with positive profits","TAX_PAID","Income Tax Paid (on Cash Basis)","2016","2016",16789.067,,
"LUX","Luxembourg","ZAF","South Africa","PANELAI","Sub-Groups with positive profits","ACT_IP","Holding or Managing Intellectual Property","2016","2016",2,,
"IND","India","ETH","Ethiopia","PANELAI","Sub-Groups with positive profits","EARNINGS","Accumulated Earnings","2016","2016",6635285.611,,
"DNK","Denmark","MOZ","Mozambique","PANELAI","Sub-Groups with positive profits","PROFIT","Profit (Loss) before Income Tax","2016","2016",281343.771,,
"FRA","France","MYS","Malaysia","PANELAI","Sub-Groups with positive profits","EMPLOYEES","Number of Employees","2016","2016",10272,,
"USA","United States","ITA","Italy","PANELAI","Sub-Groups with positive profits","RPR","Related Party Revenues","2016","2016",16011458365,,
"ITA","Italy","MEX","Mexico","PANELAI","Sub-Groups with positive profits","TAX_PAID","Income Tax Paid (on Cash Basis)","2016","2016",39168030.797,,
"IND","India","AZE","Azerbaijan","PANELAI","Sub-Groups with positive profits","TOT_REV","Total Revenues","2016","2016",130239113.962,,
"MEX","Mexico","FJT","Foreign Jurisdictions Total","PANELAI","Sub-Groups with positive profits","EMPLOYEES","Number of Employees","2016","2016",340919,,
"IND","India","ETH","Ethiopia","PANELAI","Sub-Groups with positive profits","ACT_HOLDING","Holding Shares or other Equity Instruments","2016","2016",0,,
"AUS","Australia","MEX","Mexico","PANELAI","Sub-Groups with positive profits","CBCR_COUNT","Number of CbCRs","2016","2016",13,,
"DNK","Denmark","CZE","Czech Republic","PANELAI","Sub-Groups with positive profits","EARNINGS","Accumulated Earnings","2016","2016",162463400.174,,
"AUT","Austria","EUROP","Europe","PANELAI","Sub-Groups with positive profits","ACT_SALES","Sales, Marketing or Distribution","2016","2016",1055,,
"ZAF","South Africa","ARG","Argentina","PANELAI","Sub-Groups with positive profits","RPR","Related Party Revenues","2016","2016",5479695.6,,
